,web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,total_rating
0,1610737359-1580,https://www.wblivesurf.com/reports/page/566/,07.12.2008,Swell Size: Stomach/Chest/Occ. Bigger,8:49 AM / BY: sageisland,Water Surface: Light Bump,1.5
1,1610737171-782,https://www.wblivesurf.com/reports/page/615/,01.15.2008,Swell Size: Ankle/Shin/Rare Knee,1:19 PM / BY: sageisland,Water Surface: Light Bump,0.5
2,1610737299-1222,https://www.wblivesurf.com/reports/page/588/,05.01.2008,Swell Size: Shin,12:44 PM / BY: sageisland,Water Surface: Glassy,0.5
3,1610737916-4735,https://www.wblivesurf.com/reports/page/368/,08.01.2015,Swell Size: Thigh/Waist/Occ. Bigger,9:07 AM / BY: sageisland,Water Surface: Pretty Clean,2.0
4,1610738041-5332,https://www.wblivesurf.com/reports/page/331/,04.25.2016,Swell Size: Knee-Thigh High,12:50 PM / BY: sageisland,Water Surface: Light Bump,1.5
5,1610737502-2326,https://www.wblivesurf.com/reports/page/519/,05.21.2009,Swell Size: Chest/Head High/Bigger Sets,9:42 AM / BY: sageisland,Water Surface: Choppy,1.0
6,1610737840-4295,https://www.wblivesurf.com/reports/page/396/,08.24.2014,Swell Size: Stomach/ Chest/ Maybe bigger?,1:12 PM / BY: sageisland,Water Surface: Choppy/Drifty,2.0
7,1610739211-9816,https://www.wblivesurf.com/reports/page/51/,06.23.2020,Swell Size: Knee High,3:32 PM / BY: surfreports,Water Surface: semi clean,1.0
8,1610738693-7897,https://www.wblivesurf.com/reports/page/171/,01.25.2019,Swell Size: Thigh/Waist,10:12 AM / BY: surfreports,Water Surface: Clean,1.0
9,1610738041-5329,https://www.wblivesurf.com/reports/page/331/,04.26.2016,Swell Size: Knee High,10:04 AM / BY: sageisland,Water Surface: Light Texture,1.0
10,1610738472-7147,https://www.wblivesurf.com/reports/page/218/,07.09.2018,Swell Size: Stomach/Chest,3:34 PM / BY: surfreports,Water Surface: Light Bump,2.0
11,1610738939-8805,https://www.wblivesurf.com/reports/page/114/,09.13.2019,Swell Size: Knee High,12:14 PM / BY: surfreports,Water Surface: Clean,1.0
12,1610738759-8116,https://www.wblivesurf.com/reports/page/157/,03.23.2019,Swell Size: Knee High Shorebreak,10:04 AM / BY: surfreports,Water Surface: Clean,0.0
13,1610738024-5244,https://www.wblivesurf.com/reports/page/337/,02.22.2016,Swell Size: Knee High,12:10 PM / BY: sageisland,Water Surface: Glassy,1.0
14,1610738833-8395,https://www.wblivesurf.com/reports/page/140/,05.28.2019,Swell Size: Knee High,12:08 PM / BY: surfreports,Water Surface: Clean,0.5
15,1610737573-2735,https://www.wblivesurf.com/reports/page/493/,03.14.2010,Swell Size: Thigh-Waist/ Occ. Bigger,1:07 PM / BY: sageisland,Water Surface: Clean/Offshore,1.5
16,1610738739-8035,https://www.wblivesurf.com/reports/page/162/,03.03.2019,Swell Size: Knee/Thigh High,2:05 PM / BY: surfreports,Water Surface: Choppy,0.0
17,1610737458-2074,https://www.wblivesurf.com/reports/page/535/,12.17.2008,Swell Size: Thigh/Waist/Occ. Stomach,3:35 PM / BY: sageisland,Water Surface: Light Texture,1.5
18,1610739259-10017,https://www.wblivesurf.com/reports/page/38/,08.16.2020,Swell Size: Knee-Thigh High,12:45 PM / BY: surfreports,Water Surface: Bumpy,0.5
19,1610738962-8894,https://www.wblivesurf.com/reports/page/108/,10.09.2019,Swell Size: Thigh/Waist,10:08 AM / BY: surfreports,Water Surface: Clean,2.0
20,1610738136-5804,https://www.wblivesurf.com/reports/page/302/,11.06.2016,Swell Size: Thigh-Waist,3:23 PM / BY: sageisland,Water Surface: Glassy,1.5
21,1610738804-8297,https://www.wblivesurf.com/reports/page/146/,05.05.2019,Swell Size: Knee/Thigh/Occ. Hip,6:42 AM / BY: surfreports,Water Surface: Light Texture/Semi-Clean,0.5
22,1610738732-8001,https://www.wblivesurf.com/reports/page/164/,02.24.2019,Swell Size: Knee/Occ. Thigh High Shorebreak,10:53 AM / BY: surfreports,Water Surface: Light Bump,0.5
23,1610737872-4485,https://www.wblivesurf.com/reports/page/384/,03.15.2015,Swell Size: Thigh high- Occ. Waist,3:42 PM / BY: sageisland,Water Surface: Clean,2.0
24,1610737488-2252,https://www.wblivesurf.com/reports/page/524/,04.04.2009,Swell Size: Knee/Thigh/Occ. Bigger,12:22 PM / BY: sageisland,Water Surface: Clean/Light Offshore,1.0
25,1610738625-7672,https://www.wblivesurf.com/reports/page/185/,11.29.2018,Swell Size: Flat,12:37 PM / BY: surfreports,Water Surface: Clean,0.0
26,1610738601-7573,https://www.wblivesurf.com/reports/page/191/,11.05.2018,Swell Size: Thigh/Waist,12:27 PM / BY: surfreports,Water Surface: Clean,1.5
27,1610737704-3511,https://www.wblivesurf.com/reports/page/445/,11.23.2012,Swell Size: Thigh/Waist/Rare Bigger Sets,12:18 PM / BY: sageisland,Water Surface: Fairly Clean,1.0
28,1610738916-8732,https://www.wblivesurf.com/reports/page/119/,08.20.2019,Swell Size: Knee High,9:01 AM / BY: surfreports,Water Surface: Light Bump,0.5
29,1610737894-4606,https://www.wblivesurf.com/reports/page/376/,05.17.2015,Swell Size: Thigh/Waist High,10:47 AM / BY: sageisland,Water Surface: Light Bump,2.0
30,1610737913-4720,https://www.wblivesurf.com/reports/page/369/,07.26.2015,Swell Size: Thigh/Waist/Occ. Stomach,6:23 AM / BY: sageisland,Water Surface: Semi-Clean/Light Bump,2.0
31,1610737894-4611,https://www.wblivesurf.com/reports/page/376/,05.15.2015,Swell Size: Thigh-Waist High,9:56 AM / BY: sageisland,Water Surface: Light Bump,2.0
32,1610738175-6014,https://www.wblivesurf.com/reports/page/288/,04.16.2017,Swell Size: Thigh/Waist/Occ. Stomach,12:31 PM / BY: sageisland,Water Surface: Sideshore Chop,1.5
33,1610738699-7912,https://www.wblivesurf.com/reports/page/170/,01.29.2019,Swell Size: Knee High,12:33 PM / BY: surfreports,Water Surface: Light Bump,1.5
34,1610737742-3733,https://www.wblivesurf.com/reports/page/431/,04.26.2013,Swell Size: Knee/Thigh/Occ. Waist,3:53 PM / BY: sageisland,Water Surface: Choppy,1.5
35,1610737359-1574,https://www.wblivesurf.com/reports/page/566/,07.13.2008,Swell Size: Waist-Chest,4:17 PM / BY: sageisland,Water Surface: Light Chop/Clean Faces,1.5
36,1610737731-3668,https://www.wblivesurf.com/reports/page/435/,04.05.2013,Swell Size: Waist/Stomach/Occ Bigger,3:55 PM / BY: sageisland,Water Surface: Light Chop,2.5
37,1610738991-9023,https://www.wblivesurf.com/reports/page/100/,11.10.2019,Swell Size: Thigh/Waist,3:33 PM / BY: surfreports,Water Surface: light texture,1.0
